som_mouse_1_1,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,Part of,Is a,Part of,Is a,Part of,Is a,Part of,Description
0.00014754,90307,spindle assembly involved in mitosis,biological process,7052,mitotic spindle organization,51225,spindle assembly,,,,,"The aggregation, arrangement and bonding together of a set of components to form the spindle that contributes to the process of mitosis. [GOC:tb, GOC:vw]"
0.00031863,8380,RNA splicing,biological process,6396,RNA processing,,,,,,,"The process of removing sections of the primary RNA transcript to remove sequences not present in the mature form of the RNA and joining the remaining sections to form the mature form of the RNA. [GOC:krc, GOC:mah]"
0.0005669,84,S phase of mitotic cell cycle,biological process,51320,S phase,,,,,,,"S phase occurring as part of the mitotic cell cycle. S phase is the part of the cell cycle during which DNA synthesis takes place. A mitotic cell cycle is one which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. [GOC:dph, GOC:mah, ISBN:0815316194]"
0.0005669,87,M phase of mitotic cell cycle,biological process,279,M phase,,,,,,,"M phase occurring as part of the mitotic cell cycle. M phase is the part of the cell cycle during which nuclear division takes place. A mitotic cell cycle is one which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. [GOC:dph, GOC:mah, ISBN:0815316194]"
0.0005669,7052,mitotic spindle organization,biological process,7051,spindle organization,22402,cell cycle process,,,,,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the microtubule spindle during a mitotic cell cycle. [GOC:mah]"
0.0005669,34501,protein localization to kinetochore,biological process,34502,protein localization to chromosome,,,,,,,"Any process in which a protein is transported to, or maintained at, the kinetochore. [GOC:mah]"
0.00078894,31572,G2/M transition DNA damage checkpoint,biological process,77,DNA damage checkpoint,31576,G2/M transition checkpoint,,,,,A cell cycle checkpoint that blocks cell cycle progression from G2 to M phase in response to DNA damage. [GOC:mah]
0.0012603,6302,double-strand break repair,biological process,6281,DNA repair,,,,,,,The repair of double-strand breaks in DNA via homologous and nonhomologous mechanisms to reform a continuous DNA helix. [GOC:elh]
0.0013616,132,establishment of mitotic spindle orientation,biological process,40001,establishment of mitotic spindle localization,51294,establishment of spindle orientation,,,,,A cell cycle process that sets the alignment of mitotic spindle relative to other cellular structures. [GOC:ems]
0.0013616,8608,attachment of spindle microtubules to kinetochore,biological process,51313,attachment of spindle microtubules to chromosome,,,,,,,"The process in which spindle microtubules become physically associated with the proteins making up the kinetochore complex. [GOC:vw, PMID:10322137]"
0.0013616,15807,L-amino acid transport,biological process,6865,amino acid transport,,,,,,,"The directed movement of L-enantiomer amino acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai, GOC:jsg, GOC:mah]"
0.0013616,48699,generation of neurons,biological process,22008,neurogenesis,,,,,,,The process in which nerve cells are generated. This includes the production of neuroblasts and their differentiation into neurons. [GOC:nln]
0.0013616,51225,spindle assembly,biological process,7051,spindle organization,70925,organelle assembly,,,,,"The aggregation, arrangement and bonding together of a set of components to form the spindle, the array of microtubules and associated molecules that serves to move duplicated chromosomes apart. [GOC:ai, GOC:expert_rg, GOC:mtg_sensu, GOC:tb]"
0.0013616,71479,cellular response to ionizing radiation,biological process,10212,response to ionizing radiation,71478,cellular response to radiation,,,,,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ionizing radiation stimulus. Ionizing radiation is radiation with sufficient energy to remove electrons from atoms and may arise from spontaneous decay of unstable isotopes, resulting in alpha and beta particles and gamma rays. Ionizing radiation also includes X-rays. [GOC:mah]"
0.0018983,86,G2/M transition of mitotic cell cycle,biological process,22402,cell cycle process,,,,,,,Progression from G2 phase to M phase of the mitotic cell cycle. [GOC:mah]
0.0026164,48541,Peyer's patch development,biological process,48537,mucosal-associated lymphoid tissue development,,,,,,,"The process whose specific outcome is the progression of Peyer's patches over time, from their formation to the mature structure. Peyer's patches are typically found as nodules associated with gut epithelium with distinct internal structures including B- and T-zones for the activation of lymphocytes. [GOC:add, ISBN:0781735149]"
0.0028004,236,mitotic prometaphase,biological process,22403,cell cycle phase,,,,,,,"A cell cycle process comprising the steps by which a cell progresses through prometaphase, the stage following prophase in mitosis (in higher eukaryotes) during which the nuclear envelope is disrupted and breaks into membrane vesicles, and the spindle microtubules enter the nuclear region. Kinetochores mature on each centromere and attach to some of the spindle microtubules. Kinetochore microtubules begin the process of aligning chromosomes in one plane halfway between the poles. [GOC:dph, GOC:mah, ISBN:0198547684]"
0.0028004,281,cytokinesis after mitosis,biological process,33205,cell cycle cytokinesis,,,,,,,"A cell cycle process that results in the division of the cytoplasm of a cell after mitosis, resulting in the separation of the original cell into two daughter cells. [GOC:ai]"
0.0028004,3149,membranous septum morphogenesis,biological process,9653,anatomical structure morphogenesis,,,,,,,The process in which the membranous septum is generated and organized. The membranous septum is the upper part of ventricular septum. [GOC:mtg_heart]
0.0028004,6289,nucleotide-excision repair,biological process,6281,DNA repair,,,,,,,"A DNA repair process in which a small region of the strand surrounding the damage is removed from the DNA helix as an oligonucleotide. The small gap left in the DNA helix is filled in by the sequential action of DNA polymerase and DNA ligase. Nucleotide excision repair recognizes a wide range of substrates, including damage caused by UV irradiation (pyrimidine dimers and 6-4 photoproducts) and chemicals (intrastrand cross-links and bulky adducts). [PMID:10197977]"
0.0028004,6297,"nucleotide-excision repair, DNA gap filling",biological process,6259,DNA metabolic process,,,,,,,Repair of the gap in the DNA helix by DNA polymerase and DNA ligase after the portion of the strand containing the lesion has been removed by pyrimidine-dimer repair enzymes. [ISBN:0815316194]
0.0028004,6333,chromatin assembly or disassembly,biological process,6325,chromatin organization,,,,,,,The formation or destruction of chromatin structures. [GOC:mah]
0.0028004,9263,deoxyribonucleotide biosynthetic process,biological process,9165,nucleotide biosynthetic process,9262,deoxyribonucleotide metabolic process,,,,,"The chemical reactions and pathways resulting in the formation of a deoxyribonucleotide, a compound consisting of deoxyribonucleoside (a base linked to a deoxyribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar. [GOC:go_curators, ISBN:0198506732]"
0.0028004,18022,peptidyl-lysine methylation,biological process,6479,protein methylation,18205,peptidyl-lysine modification,,,,,"The methylation of peptidyl-lysine to form either the mono-, di- or trimethylated derivative. [GOC:ai]"
